Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Quién presenta el plan estratégico y el plan operativo al Consejo de Administración?,multiple,Asamblea General,Gerencia o responsable técnico,Consejo de Vigilancia,Gerencia o responsable técnico
¿Hasta qué fecha se debe presentar el plan operativo anual y su presupuesto para el siguiente ejercicio?,multiple,31 de diciembre,1 de enero,30 de noviembre,30 de noviembre
¿Cuál es el propósito del plan estratégico?,multiple,Determinar únicamente los gastos anuales,Establecer actividades rutinarias,Definir la visión  misión  objetivos y estrategias de largo plazo,Definir la visión  misión  objetivos y estrategias de largo plazo
La visión de una organización responde a:,multiple,¿Quiénes son nuestros clientes?,¿Qué valores tenemos?,¿Qué queremos ser en el futuro?,¿Qué queremos ser en el futuro?
¿Cuál de estos elementos forma parte del análisis FODA?,multiple,Plan de compras,Programación anual,Fortalezas,Fortalezas
¿Qué representan los indicadores dentro del plan estratégico?,multiple,Los nombres de los responsables,Las expresiones cuantitativas del desempeño,Las actividades sociales,Las expresiones cuantitativas del desempeño
¿Qué son las metas dentro de la planificación?,multiple,Actividades presupuestarias,Valores deseados para un indicador en un tiempo determinado,Costos máximos,Valores deseados para un indicador en un tiempo determinado
El plan operativo anual se centra en:,multiple,Gastos históricos,Acciones concretas que se ejecutarán durante un año para alcanzar objetivos específicos,Créditos de emergencia,Acciones concretas que se ejecutarán durante un año para alcanzar objetivos específicos
¿Qué elemento NO forma parte del contenido del plan operativo?,multiple,Objetivo general,Actividades y metas,Reglamento interno de socios,Reglamento interno de socios
El presupuesto debe estar alineado al plan operativo y reflejar los recursos necesarios para cumplir las metas.,verdadero_falso,,,,VERDADERO
