Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Qué es el control interno en una organización?,multiple,Un sistema para sancionar a los empleados,Un reglamento exclusivo para contabilidad,Un proceso diseñado para brindar seguridad razonable sobre el cumplimiento de objetivos,Un proceso diseñado para brindar seguridad razonable sobre el cumplimiento de objetivos
¿Cuál es uno de los objetivos del control interno?,multiple,Maximizar las utilidades,Garantizar la eficiencia operativa  confiabilidad financiera y cumplimiento normativo,Eliminar la participación de los socios,Garantizar la eficiencia operativa  confiabilidad financiera y cumplimiento normativo
El autocontrol implica:,multiple,La supervisión constante de la SEPS,Que solo el gerente revise los procesos,La responsabilidad individual de cumplir procedimientos y normas,La responsabilidad individual de cumplir procedimientos y normas
Uno de los componentes del control interno es el ambiente interno.,verdadero_falso,,,,VERDADERO
¿Qué actividad pertenece a la gestión y evaluación de riesgos?,multiple,Pago de planillas,Identificación y análisis de posibles eventos que puedan afectar los objetivos,Auditoría externa,Identificación y análisis de posibles eventos que puedan afectar los objetivos
¿Qué componente del control interno se relaciona con garantizar que la información fluya adecuadamente?,multiple,Actividades de control,Evaluación de riesgos,Información y comunicación,Información y comunicación
El seguimiento dentro del control interno se realiza a través de:,multiple,Un proceso político,Control de socios,Evaluaciones periódicas y monitoreo continuo,Evaluaciones periódicas y monitoreo continuo
¿Cuál de los siguientes es un ejemplo de actividad de control?,multiple,Separación de funciones entre áreas operativas y contables,Elaboración del presupuesto nacional,Emisión de créditos por el consejo de vigilancia,Separación de funciones entre áreas operativas y contables
El control interno también aplica en la administración de talento humano para:,multiple,Aumentar sanciones disciplinarias,Establecer procesos claros de ingreso  evaluación y promoción,Aumentar la carga de trabajo,Establecer procesos claros de ingreso  evaluación y promoción
En los sistemas de información computarizados  el control interno debe:,multiple,Permitir el acceso libre a todos los usuarios,Garantizar integridad  confidencialidad y disponibilidad de los datos,Evitar el uso de contraseñas,Garantizar integridad  confidencialidad y disponibilidad de los datos
