Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
El riesgo operativo incluye también los riesgos políticos  económicos y de reputación.,verdadero_falso,,,,FALSO
Todos los colaboradores están involucrados en algún proceso dentro de una organización.,verdadero_falso,,,,VERDADERO
Los procesos habilitantes son aquellos que se encargan de ofrecer directamente servicios a los socios.,verdadero_falso,,,,FALSO
El responsable del proceso debe identificar y ejecutar los cambios necesarios para mejorar el desempeño.,verdadero_falso,,,,VERDADERO
Las entidades deben contar con acuerdos de confidencialidad actualizados solo para los altos directivos,verdadero_falso,,,,FALSO
¿Cuál de los siguientes NO es un factor de riesgo operativo?,multiple,Procesos,Tecnología de la información,Entorno político,Entorno político
¿Qué tipo de proceso se encarga de apoyar a los procesos gobernantes y productivos?,multiple,Procesos estratégicos,Procesos habilitantes,Procesos centrales,Procesos habilitantes
¿Cuál de estas NO es una responsabilidad del responsable de proceso?,multiple,Ejecutar el plan anual de inversiones,Establecer puntos de control,Distribuir el trabajo entre los participantes,Ejecutar el plan anual de inversiones
Uno de los elementos obligatorios para la gestión de tecnología de la información es:,multiple,Licencias de marca,Un plan estratégico a cinco años,Un inventario de elementos tecnológicos,Un inventario de elementos tecnológicos
¿Qué deben incluir los respaldos de operaciones en tecnología de información?,multiple,Solo archivos contables,Solo datos de clientes,Movimientos de operaciones activas  pasivas  contingentes y servicios,Movimientos de operaciones activas  pasivas  contingentes y servicios
