Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál de los siguientes elementos forma parte del proceso de planificación financiera?,multiple,Auditoría externa,Estudio de mercado,Establecimiento de objetivos financieros,Establecimiento de objetivos financieros
La planeación financiera busca únicamente medir la rentabilidad del negocio.,verdadero_falso,,,,FALSO
¿Qué debe contener un presupuesto institucional?,multiple,Análisis de rotación de personal,Proyección de ingresos  egresos y flujo de caja,Número de asambleas realizadas,Proyección de ingresos  egresos y flujo de caja
El POA debe incluir responsables  costos  fechas y métodos de verificación por cada acción.,verdadero_falso,,,,VERDADERO
¿Cuál de los siguientes es un indicador clave en la gestión financiera de una cooperativa?,multiple,Nivel de afiliación política de los socios,Rentabilidad,Frecuencia de reuniones sociales,Rentabilidad
El informe gerencial mensual debe incluir un análisis de ejecutado frente a presupuesto.,verdadero_falso,,,,VERDADERO
¿Cuál es uno de los principales objetivos del análisis de sensibilidad?,multiple,Determinar el número de empleados,Calcular las tasas de interés de mercado,Evaluar el impacto de cambios en variables críticas,Evaluar el impacto de cambios en variables críticas
El presupuesto puede ajustarse si las condiciones económicas cambian significativamente.,verdadero_falso,,,,VERDADERO
¿Qué se requiere para abrir una nueva sucursal según la SEPS?,multiple,Opinión de los socios,Solicitud formal  acta de aprobación y dictamen de auditoría externa,Informe de cultura organizacional,Solicitud formal  acta de aprobación y dictamen de auditoría externa
La proyección del estado de resultados es suficiente para validar todo el presupuesto.,verdadero_falso,,,,FALSO
