Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es una de las funciones principales del Consejo de Administración en una cooperativa?,multiple,Establecer el salario de los socios,Diseñar el curso estratégico de la institución ,Ejecutar operaciones diarias,Diseñar el curso estratégico de la institución 
¿Qué documento regula la conducta ética de todos los actores de la cooperativa?,multiple,Manual financiero,Estatuto de crédito,Código de Ética y Comportamiento ,Código de Ética y Comportamiento 
¿Cuál de los siguientes es un principio cooperativo?,multiple,Autonomía e independencia ,Centralización del poder,Rentabilidad financiera absoluta,Autonomía e independencia 
¿Qué se prohíbe a los directivos para evitar conflictos de interés?,multiple,Recibir capacitación financiera,Recibir regalos o favores a cambio de servicios ,Asistir a reuniones internas,Recibir regalos o favores a cambio de servicios 
La transparencia en la gestión incluye:,multiple,Ocultar balances y estados financieros,Capacitar únicamente a los gerentes,Publicar información financiera y operativa a los socios ,Publicar información financiera y operativa a los socios 
¿Qué ocurre si un directivo divulga información institucional sin autorización?,multiple,Recibe una capacitación extra,Se le felicita por su iniciativa,Se considera falta grave y causal de remoción ,Se considera falta grave y causal de remoción 
¿Cuál de estas acciones vulnera el principio de control democrático?,multiple,Un socio un voto,Participación de todos los socios,Imposición de decisiones por parte del gerente ,Imposición de decisiones por parte del gerente 
La participación económica de los socios se refleja en:,multiple,Aportes sin control ni seguimiento,Contribución y control democrático del capital ,Reparto desigual de utilidades,Contribución y control democrático del capital 
El incumplimiento del deber de confidencialidad no tiene consecuencias dentro de la cooperativa.,verdadero_falso,,,,FALSO
El código de ética tiene como fin institucionalizar principios de actuación profesional dentro de la cooperativa.,verdadero_falso,,,,VERDADERO
