Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Qué es la planificación financiera?,multiple,Una forma de evitar gastos,Una herramienta para administrar recursos y alcanzar metas,Un sistema de ahorro obligatorio,Una herramienta para administrar recursos y alcanzar metas
¿Cuál de las siguientes opciones es un gasto hormiga?,multiple,Pago de arriendo,Compra mensual de alimentos,Café diario comprado fuera de casa,Café diario comprado fuera de casa
¿Qué es el crédito?,multiple,Un contrato mediante el cual se presta dinero con obligación de devolución,Un subsidio que no requiere devolución,Una forma de ahorro programado,Un contrato mediante el cual se presta dinero con obligación de devolución
¿Cuál es la diferencia entre ahorrar e invertir?,multiple,Ahorrar es gastar menos  invertir es endeudarse,Ahorrar es guardar dinero  invertir es usarlo para generar ganancias,No hay diferencia  son lo mismo,Ahorrar es guardar dinero  invertir es usarlo para generar ganancias
¿Por qué es importante elaborar un presupuesto?,multiple,Para comprar más productos,Para dejar de ahorrar,Para conocer ingresos  gastos y planificar el ahorro,Para conocer ingresos  gastos y planificar el ahorro
El ahorro debe formar parte del presupuesto mensual.,verdadero_falso,,,,VERDADERO
Los ingresos incluyen únicamente los sueldos mensuales.,verdadero_falso,,,,FALSO
Endeudarse responsablemente significa conocer las condiciones del crédito antes de aceptarlo.,verdadero_falso,,,,VERDADERO
Invertir dinero siempre garantiza que se obtendrá una ganancia.,verdadero_falso,,,,FALSO
Los gastos hormiga son insignificantes y no afectan las finanzas personales.,verdadero_falso,,,,FALSO
