Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es uno de los valores corporativos promovidos por la Cooperativa?,multiple,Competencia,Honestidad,Ambición,Honestidad
¿Qué principio cooperativo se relaciona con la toma de decisiones democrática?,multiple,Cooperación entre cooperativas,Control democrático de los miembros,Autonomía financiera,Control democrático de los miembros
¿Cuál es el órgano que conoce los conflictos de interés en la Cooperativa?,multiple,Gerencia General,Comisión Especial de Resolución de Conflictos,Consejo de Vigilancia,Comisión Especial de Resolución de Conflictos
¿Qué práctica es considerada un acto censurable?,multiple,Asistir a capacitaciones institucionales,Informar conflictos de interés,Utilizar el nombre de la cooperativa para beneficios personales,Utilizar el nombre de la cooperativa para beneficios personales
¿Cuál de las siguientes es una prohibición para trabajadores y directivos?,multiple,Participar en capacitaciones,Ofrecer servicios a empresas competidoras,Colaborar con los socios,Ofrecer servicios a empresas competidoras
La cortesía  la ética y la comunicación efectiva son pilares de la cultura organizacional.,verdadero_falso,,,,VERDADERO
Los trabajadores pueden gestionar créditos en base a información falsa si benefician a un socio.,verdadero_falso,,,,FALSO
Los principios cooperativos permiten poner en práctica los valores institucionales.,verdadero_falso,,,,VERDADERO
Es permitido a los trabajadores intervenir en procesos judiciales que ellos mismos hayan gestionado.,verdadero_falso,,,,FALSO
Los actos contrarios a la ética pueden generar sanciones administrativas  civiles o penales.,verdadero_falso,,,,VERDADERO
