Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
El fraude externo representa un mayor riesgo operativo que el fraude interno.,verdadero_falso,,,,FALSO
Las transacciones no autorizadas son consideradas eventos de riesgo operativo.,verdadero_falso,,,,VERDADERO
Las auditorías internas no son útiles para identificar eventos de riesgo operativo.,verdadero_falso,,,,FALSO
El registro de eventos de riesgo operativo es una etapa clave dentro del sistema de gestión.,verdadero_falso,,,,VERDADERO
El análisis de procesos no se considera fuente para la identificación de riesgos operativos.,verdadero_falso,,,,FALSO
¿Cuál de los siguientes es un tipo de evento de riesgo operativo?,multiple,Incremento de tasas activas,Pérdida por transacción no autorizada,Variación del tipo de cambio,Pérdida por transacción no autorizada
Una de las principales fuentes para identificar riesgos operativos es:,multiple,Presupuestos anuales,Estudios de mercado,Informes de auditoría externa,Informes de auditoría externa
¿Cuál de los siguientes factores se asocia a los eventos de riesgo operativo?,multiple,Movimientos del mercado,Personas  procesos y tecnología,Demandas judiciales por impuestos,Personas  procesos y tecnología
El fraude interno suele ser:,multiple,Inexistente en cooperativas pequeñas,Equivalente en frecuencia al fraude externo,Cinco veces más frecuente que el fraude externo,Cinco veces más frecuente que el fraude externo
¿Qué herramienta apoya el proceso de prevención de pérdidas operativas?,multiple,Registro contable,Reporte financiero mensual,Sistema de gestión de riesgo operativo,Sistema de gestión de riesgo operativo
