Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Qué ley regula a las organizaciones de la Economía Popular y Solidaria en Ecuador?,multiple,Ley de Compañías,Código Orgánico Monetario y Financiero,Ley Orgánica de Economía Popular y Solidaria,Ley Orgánica de Economía Popular y Solidaria
¿Cuál de los siguientes NO es un principio de la Economía Popular y Solidaria?,multiple,Autogestión,Maximización del lucro,Solidaridad,Maximización del lucro
¿Cuál es una diferencia principal entre la empresa privada y las organizaciones de EPS?,multiple,Ambas se enfocan en maximizar el beneficio individual,Las organizaciones EPS priorizan el bienestar colectivo,Las EPS tienen como fin la especulación financiera,Las organizaciones EPS priorizan el bienestar colectivo
¿Qué tipo de organización está reconocida por la LOEPS?,multiple,Empresa unipersonal,Sociedad anónima,Cooperativa de ahorro y crédito,Cooperativa de ahorro y crédito
¿Qué sucede cuando un socio pierde su calidad dentro de una cooperativa?,multiple,Se le impone una multa,Tiene derecho a la liquidación de haberes,Se le otorgan beneficios especiales,Tiene derecho a la liquidación de haberes
La Economía Popular y Solidaria promueve la participación democrática en la toma de decisiones.,verdadero_falso,,,,VERDADERO
Los socios de una cooperativa pueden transferir libremente sus derechos sin autorización.,verdadero_falso,,,,FALSO
La relación del socio con la organización implica derechos y obligaciones mutuos.,verdadero_falso,,,,VERDADERO
Las asociaciones reconocidas por la LOEPS no tienen personalidad jurídica.,verdadero_falso,,,,FALSO
La Economía Popular y Solidaria es una forma de organización __________   en la que sus integrantes  de manera individual o colectivamente  desarrollan procesos de producción  intercambio  comercialización  financiamiento y consumo de bienes y servicios.,completar,,,,económica
