Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es el principal objetivo de la planeación financiera en una cooperativa?,multiple,Minimizar los impuestos a pagar,Evitar la supervisión externa,Traducir el plan estratégico en proyecciones económicas y sostenibles,Traducir el plan estratégico en proyecciones económicas y sostenibles
¿Qué herramienta permite transformar objetivos estratégicos en actividades  metas e indicadores?,multiple,Estado de Resultados,Balanced Scorecard,Informe de Auditoría,Balanced Scorecard
El presupuesto tiene carácter:,multiple,Estratégico y a largo plazo,Político y coyuntural,Operativo y anual,Operativo y anual
El proceso presupuestario incluye fases como programación  formulación  ejecución  control y cierre.,verdadero_falso,,,,VERDADERO
El diagnóstico financiero integral permite:,multiple,Aprobar nuevos productos,Calcular el valor de aportes,Determinar fortalezas y debilidades financieras,Determinar fortalezas y debilidades financieras
¿Qué indicador se utiliza para medir la rentabilidad del patrimonio?,multiple,ROE,ROA,Liquidez,ROE
La planeación financiera debe realizarse solo una vez cada cinco años.,verdadero_falso,,,,FALSO
¿Cuál de estos es un componente del análisis macroeconómico?,multiple,Provisión de cartera,Tasas de interés y entorno político,Flujo de caja diario,Tasas de interés y entorno político
El flujo de caja proyectado permite conocer la liquidez futura de la cooperativa.,verdadero_falso,,,,VERDADERO
¿Cuál de estos no forma parte del presupuesto de capital?,multiple,Equipos de computación,Terrenos,Gastos de personal,Gastos de personal
