Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Quién representa legalmente a la cooperativa ante terceros?,multiple,El Consejo de Vigilancia,El Representante Legal,El Auditor Externo,El Representante Legal
¿Qué función NO corresponde al Representante Legal?,multiple,Firmar contratos,Representar judicial y extrajudicialmente a la cooperativa,Fiscalizar los estados financieros,Fiscalizar los estados financieros
El Representante Legal debe:,multiple,Aprobar los estados financieros sin intervención del Consejo,Cumplir y hacer cumplir las decisiones de los órganos de gobierno,Delegar funciones sin autorización,Cumplir y hacer cumplir las decisiones de los órganos de gobierno
¿Cuál de estas es una atribución del Consejo de Administración?,multiple,Aprobar el plan estratégico y operativo de la cooperativa,Realizar auditorías externas,Supervisar directamente a los socios,Aprobar el plan estratégico y operativo de la cooperativa
¿Qué órgano aprueba y supervisa el cumplimiento del presupuesto institucional?,multiple,Representante Legal,Consejo de Administración,Comité de Vigilancia,Consejo de Administración
El Consejo de Administración tiene como responsabilidad:,multiple,Reemplazar al Representante Legal sin asamblea,Convocar elecciones internas,Asegurar la ejecución de planes y políticas institucionales,Asegurar la ejecución de planes y políticas institucionales
El Consejo de Vigilancia está encargado de:,multiple,Fiscalizar la gestión del Consejo de Administración y del Representante Legal,Coordinar con la Superintendencia reuniones internas,Aprobar el reglamento laboral,Fiscalizar la gestión del Consejo de Administración y del Representante Legal
¿Cuál es una de las funciones del Consejo de Vigilancia?,multiple,Elaborar el presupuesto,Dirigir los comités de crédito,Proponer la terna para auditor interno y externo,Proponer la terna para auditor interno y externo
¿Quién informa sobre riesgos que pueden afectar a la cooperativa?,multiple,Representante Legal,Consejo de Administración,Consejo de Vigilancia,Consejo de Vigilancia
El Consejo de Vigilancia puede emitir opinión sobre la razonabilidad de los estados financieros.,verdadero_falso,,,,VERDADERO
